dataset,subject_id,model,seed,fingerprint,action,status,job_dir,checkpoint_id,subject_metric,num_recordings,error
etard_tf64,P10,ridge,0,c744a60682ac763daaac433a8ecb585648a16dde,skip_existing,success,experiments/gate0_gate2_full_subject_single_seed/jobs/etard_tf64/P10/ridge/seed_0,ridge_alpha_100.0,0.14400813039919944,40,
etard_tf64,P10,cca,0,68578c7e4100e65b55ded375703902bad877c9e5,skip_existing,success,experiments/gate0_gate2_full_subject_single_seed/jobs/etard_tf64/P10/cca/seed_0,cca_nc_1,0.1052584234569652,40,
etard_tf64,P10,fcnn,0,9c38457f58ee397d6d3afc6908ea4f69b795b9d1,skip_existing,success,experiments/gate0_gate2_full_subject_single_seed/jobs/etard_tf64/P10/fcnn/seed_0,fcnn_epoch_1,0.09636906989887803,40,
etard_tf64,P10,adt,0,60a37a9460d63adc96c92e02b46f639e19a487e0,skip_existing,success,experiments/gate0_gate2_full_subject_single_seed/jobs/etard_tf64/P10/adt/seed_0,adt_epoch_3,0.1827733827426333,40,
etard_tf64,P11,ridge,0,f71a0d33d2846e82d53a6f5dfb88f652ebb5f260,skip_existing,success,experiments/gate0_gate2_full_subject_single_seed/jobs/etard_tf64/P11/ridge/seed_0,ridge_alpha_0.001,0.044848313231063586,16,
etard_tf64,P11,cca,0,2937b53e08933cc8d4b393fa6ff485051a91d103,skip_existing,success,experiments/gate0_gate2_full_subject_single_seed/jobs/etard_tf64/P11/cca/seed_0,cca_nc_1,0.01697478173375066,16,
etard_tf64,P11,fcnn,0,88b9361e756550a3a11526aaf43411976d5fde26,skip_existing,success,experiments/gate0_gate2_full_subject_single_seed/jobs/etard_tf64/P11/fcnn/seed_0,fcnn_epoch_1,0.05252191227174807,16,
etard_tf64,P11,adt,0,b3498cca8f460e7533b890e1f9e23c2f6b342510,skip_existing,success,experiments/gate0_gate2_full_subject_single_seed/jobs/etard_tf64/P11/adt/seed_0,adt_epoch_1,0.029016418840218917,16,
etard_tf64,P12,ridge,0,ad9dc316a5c1bbbc5b30a6580937c8699f6334b5,skip_existing,success,experiments/gate0_gate2_full_subject_single_seed/jobs/etard_tf64/P12/ridge/seed_0,ridge_alpha_1.0,0.051038192714147876,16,
etard_tf64,P12,cca,0,733012cd96a630303b6271a4f6879310c200bf6d,skip_existing,success,experiments/gate0_gate2_full_subject_single_seed/jobs/etard_tf64/P12/cca/seed_0,cca_nc_2,0.0477233194092052,16,
etard_tf64,P12,fcnn,0,839f1f8488f22da64074019b27e0e03c3cc8fcfb,skip_existing,success,experiments/gate0_gate2_full_subject_single_seed/jobs/etard_tf64/P12/fcnn/seed_0,fcnn_epoch_4,0.024303849912917456,16,
etard_tf64,P12,adt,0,8bdce4ec630cd06a626ab9b79d9e668cc007cd1b,skip_existing,success,experiments/gate0_gate2_full_subject_single_seed/jobs/etard_tf64/P12/adt/seed_0,adt_epoch_6,0.07405633867954906,16,
etard_tf64,P13,ridge,0,126c2ae7bbc378534740fc11d2b524f159f28604,skip_existing,success,experiments/gate0_gate2_full_subject_single_seed/jobs/etard_tf64/P13/ridge/seed_0,ridge_alpha_100.0,0.08236454245340001,40,
etard_tf64,P13,cca,0,ce9b358caf40969bd2d6dd6df46e5ae5101d3ba7,skip_existing,success,experiments/gate0_gate2_full_subject_single_seed/jobs/etard_tf64/P13/cca/seed_0,cca_nc_1,0.06220989017493215,40,
etard_tf64,P13,fcnn,0,ac57488f4a1491b7c0ea609d4ea193d8fbcc02c2,skip_existing,success,experiments/gate0_gate2_full_subject_single_seed/jobs/etard_tf64/P13/fcnn/seed_0,fcnn_epoch_2,0.05594610597871378,40,
etard_tf64,P13,adt,0,9e6e5f4dae7e8008b049b34e0056ad537ac58b0a,skip_existing,success,experiments/gate0_gate2_full_subject_single_seed/jobs/etard_tf64/P13/adt/seed_0,adt_epoch_4,0.08579810598113084,40,
etard_tf64,P14,ridge,0,707397c55c164038f7ec44d0058a89eaa9752160,skip_existing,success,experiments/gate0_gate2_full_subject_single_seed/jobs/etard_tf64/P14/ridge/seed_0,ridge_alpha_100.0,0.07104625573321281,40,
etard_tf64,P14,cca,0,bdf037255bf7aa110654474856b4be16c900fe44,skip_existing,success,experiments/gate0_gate2_full_subject_single_seed/jobs/etard_tf64/P14/cca/seed_0,cca_nc_4,0.05426455228402065,40,
etard_tf64,P14,fcnn,0,76da2f6882edf427f755186a127db8cde77029fc,skip_existing,success,experiments/gate0_gate2_full_subject_single_seed/jobs/etard_tf64/P14/fcnn/seed_0,fcnn_epoch_0,0.05190032498483782,40,
etard_tf64,P14,adt,0,b2b72709a2a38ca9180f4dc7384c1e7af04a73b7,skip_existing,success,experiments/gate0_gate2_full_subject_single_seed/jobs/etard_tf64/P14/adt/seed_0,adt_epoch_2,0.09911691622566152,40,
etard_tf64,P15,ridge,0,1a95494cdec2d42c931c13741ba7299325d6ef53,skip_existing,success,experiments/gate0_gate2_full_subject_single_seed/jobs/etard_tf64/P15/ridge/seed_0,ridge_alpha_10.0,0.06723994153100096,40,
etard_tf64,P15,cca,0,26b0a0a8e8e3c4ab87014b7f412aa9c5102f9abe,skip_existing,success,experiments/gate0_gate2_full_subject_single_seed/jobs/etard_tf64/P15/cca/seed_0,cca_nc_2,0.06403554735057461,40,
